"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"2";"0.1uF";"CAPACITOR-0402";"0402-CAP";"C5, C6";"";"";
"1";"0.22uF";"CAPACITOR-0402";"0402-CAP";"C3";"";"";
"1";"10uF/0603";"CAPACITOR-0603";"0603-CAP";"C7";"";"";
"2";"1uF";"CAPACITOR-0402";"0402-CAP";"C1, C2";"";"";
"3";"2N7002";"MOSFET-N-2N7002P";"SOT23";"Q1, Q2, Q3";"2N7002P";"";
"7";"4.7K";"RESISTOR-0402";"0402-RES";"R1, R2, R3, R4, R5, R6, R7";"";"";
"1";"4.7uF";"CAPACITOR-0402";"0402-CAP";"C4";"";"";
"1";"BREADBOARD-830";"BREADBOARD-830";"BREADBOARD-830";"ZZ4";"";"";
"1";"EXPLORE-LABS-LOGO-2-0.25";"EXPLORE-LABS-LOGO-2-0.25";"EXLABS_LOGO_0.25";"ZZ1";"Explore Labs Logo";"";
"1";"LSM303D";"LSM303D";"LGA16-LSM303D";"U1";"LSM303D";"";
"1";"M03";"M03";"1X03";"J2";"";"";
"1";"M07-SENSOR";"M07-SENSOR";"1X07-SENSOR-SPI";"J1";"Header 7";"";
"1";"MIC5365";"MIC5365";"SOT23-LDO";"U2";"";"";
"1";"OSHW-LOGOBOTTOM";"OSHW-LOGOBOTTOM";"OSHW-LOGO-M-BOTTOM";"ZZ2";"Open Source Hardware Logo";"";
"1";"SENSOR-ST";"SENSOR-ST";"SENSOR-ST";"ZZ3";"";"";
"2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"H1, H2";"#4 Stand Off";"";
